FECHA,HORA ,Severidad,TIPO_SINIESTRO,TOTAL DE FALLECIDOS,TOTAL DE HERIDOS
1/1/2016,19:38:00,GRAVE,ESTRELLAMIENTO,0,2
4/1/2016,15:50:00,GRAVE,CHOQUE LATERAL,0,2
6/1/2016,12:30:00,LEVE,CHOQUE FRONTAL,0,0
8/1/2016,16:30:00,LEVE,CHOQUE LATERAL,0,0
9/1/2016,06:30:00,GRAVE,CHOQUE LATERAL,0,1
12/1/2016,03:50:00,GRAVE,VOLCAMIENTO,0,5
13/1/2016,09:20:00,GRAVE,CHOQUE LATERAL,0,1
13/1/2016,13:20:00,LEVE,PERDIDA DE CARRIL,0,0
20/1/2016,08:33:00,GRAVE,CHOQUE POR ALC,0,1
25/1/2016,13:00:00,LEVE,CHOQUE LATERAL,0,0
26/1/2016,13:10:00,LEVE,CHOQUE LATERAL,0,0
6/2/2016,05:00:00,GRAVE,ROZAMIENTO,0,7
6/2/2016,17:15:00,GRAVE,PERDIDA DE CARRIL,0,2
6/2/2016,21:30:00,LEVE,EXPLOSION DE NEUMATICO,0,0
8/2/2016,23:15:00,LEVE,PERDIDA DE CARRIL,0,0
8/2/2016,23:40:00,FATAL,PERDIDA DE CARRIL,2,1
10/2/2016,16:15:00,GRAVE,CHOQUE FRONTAL,0,1
14/2/2016,11:35:00,GRAVE,PERDIDA DE CARRIL,0,3
16/2/2016,06:50:00,LEVE,ESTRELLAMIENTO,0,0
19/2/2016,16:40:00,LEVE,CHOQUE POR ALC,0,0
20/2/2016,15:15:00,GRAVE,CHOQUE LATERAL,0,1
21/2/2016,03:20:00,GRAVE,PERDIDA DE CARRIL,0,1
21/2/2016,04:00:00,LEVE,PERDIDA DE CARRIL,0,0
22/2/2016,11:15:00,GRAVE,PERDIDA DE CARRIL,0,2
5/3/2016,01:10:00,GRAVE,CHOQUE POR ALC,0,3
5/3/2016,17:30:00,GRAVE,ROZAMIENTO,0,2
6/3/2016,16:45:00,GRAVE,ROZAMIENTO,0,1
7/3/2016,07:30:00,LEVE,PERDIDA DE CARRIL,0,0
9/3/2016,00:30:00,GRAVE,ATROPELLO,0,1
20/3/2016,02:40:00,LEVE,VOLCAMIENTO,0,0
20/3/2016,12:30:00,LEVE,PERDIDA DE CARRIL,0,0
27/3/2016,00:15:00,LEVE,PERDIDA DE CARRIL,0,0
27/3/2016,11:10:00,GRAVE,PERDIDA DE CARRIL,0,1
28/3/2016,06:30:00,LEVE,PERDIDA DE CARRIL,0,0
3/4/2016,06:00:00,GRAVE,ESTRELLAMIENTO,0,1
4/4/2016,00:10:00,GRAVE,PERDIDA DE CARRIL,0,2
16/4/2016,03:30:00,LEVE,PERDIDA DE CARRIL,0,0
16/4/2016,14:30:00,GRAVE,CHOQUE LATERAL,0,1
17/4/2016,13:45:00,FATAL,CHOQUE FRONTAL,2,2
18/4/2016,19:00:00,GRAVE,CHOQUE LATERAL,0,1
19/4/2016,05:05:00,LEVE,CHOQUE LATERAL,0,0
23/4/2016,10:00:00,GRAVE,ATROPELLO,0,1
